Year,Units,Sustainably managed status,Country,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2019,Hectares,Certified,Scotland,Hectares,Units,Undefined,S92000003,863589.1429
2019,Hectares,Certified,Northern Ireland,Hectares,Units,Undefined,N92000002,65512.41
2001,Percentage (%),Certified,,Percentage (%),Units,Undefined,,35.71042814
2001,Percentage (%),Certified,England,Percentage (%),Units,Undefined,E92000001,23.0329498
2001,Percentage (%),Certified,Wales,Percentage (%),Units,Undefined,W92000004,41.416296200000005
2001,Percentage (%),Certified,Scotland,Percentage (%),Units,Undefined,S92000003,43.92905418
2001,Percentage (%),Certified,Northern Ireland,Percentage (%),Units,Undefined,N92000002,75.26746988
2002,Percentage (%),Certified,,Percentage (%),Units,Undefined,,36.02023477
2002,Percentage (%),Certified,England,Percentage (%),Units,Undefined,E92000001,23.50074096
2002,Percentage (%),Certified,Wales,Percentage (%),Units,Undefined,W92000004,41.24487673
2002,Percentage (%),Certified,Scotland,Percentage (%),Units,Undefined,S92000003,44.24162982
2002,Percentage (%),Certified,Northern Ireland,Percentage (%),Units,Undefined,N92000002,74.37142857
2003,Percentage (%),Certified,,Percentage (%),Units,Undefined,,
2003,Percentage (%),Certified,England,Percentage (%),Units,Undefined,E92000001,
2003,Percentage (%),Certified,Wales,Percentage (%),Units,Undefined,W92000004,
2003,Percentage (%),Certified,Scotland,Percentage (%),Units,Undefined,S92000003,
2003,Percentage (%),Certified,Northern Ireland,Percentage (%),Units,Undefined,N92000002,
2004,Percentage (%),Certified,,Percentage (%),Units,Undefined,,38.52305329
2004,Percentage (%),Certified,England,Percentage (%),Units,Undefined,E92000001,23.45300892
2004,Percentage (%),Certified,Wales,Percentage (%),Units,Undefined,W92000004,42.03719721
2004,Percentage (%),Certified,Scotland,Percentage (%),Units,Undefined,S92000003,49.54191195
2004,Percentage (%),Certified,Northern Ireland,Percentage (%),Units,Undefined,N92000002,75.8974359
2005,Percentage (%),Certified,,Percentage (%),Units,Undefined,,41.60701931
2005,Percentage (%),Certified,England,Percentage (%),Units,Undefined,E92000001,26.92108544
2005,Percentage (%),Certified,Wales,Percentage (%),Units,Undefined,W92000004,43.48535387
2005,Percentage (%),Certified,Scotland,Percentage (%),Units,Undefined,S92000003,52.93176868
2005,Percentage (%),Certified,Northern Ireland,Percentage (%),Units,Undefined,N92000002,74.59557959
2006,Percentage (%),Certified,,Percentage (%),Units,Undefined,,42.00121088
2006,Percentage (%),Certified,England,Percentage (%),Units,Undefined,E92000001,27.62148612
2006,Percentage (%),Certified,Wales,Percentage (%),Units,Undefined,W92000004,43.3814079
2006,Percentage (%),Certified,Scotland,Percentage (%),Units,Undefined,S92000003,53.19595956
2006,Percentage (%),Certified,Northern Ireland,Percentage (%),Units,Undefined,N92000002,74.06702475
2007,Percentage (%),Certified,,Percentage (%),Units,Undefined,,43.57144909
2007,Percentage (%),Certified,England,Percentage (%),Units,Undefined,E92000001,28.35983628
2007,Percentage (%),Certified,Wales,Percentage (%),Units,Undefined,W92000004,43.79150104
2007,Percentage (%),Certified,Scotland,Percentage (%),Units,Undefined,S92000003,55.864005000000006
2007,Percentage (%),Certified,Northern Ireland,Percentage (%),Units,Undefined,N92000002,73.87888564
2008,Percentage (%),Certified,,Percentage (%),Units,Undefined,,42.96888404
2008,Percentage (%),Certified,England,Percentage (%),Units,Undefined,E92000001,26.8602935
2008,Percentage (%),Certified,Wales,Percentage (%),Units,Undefined,W92000004,42.90168208
2008,Percentage (%),Certified,Scotland,Percentage (%),Units,Undefined,S92000003,56.11222164
2008,Percentage (%),Certified,Northern Ireland,Percentage (%),Units,Undefined,N92000002,73.76669235
2009,Percentage (%),Certified,,Percentage (%),Units,Undefined,,43.61448441
2009,Percentage (%),Certified,England,Percentage (%),Units,Undefined,E92000001,27.37343129
2009,Percentage (%),Certified,Wales,Percentage (%),Units,Undefined,W92000004,44.12510867
2009,Percentage (%),Certified,Scotland,Percentage (%),Units,Undefined,S92000003,56.75561363
2009,Percentage (%),Certified,Northern Ireland,Percentage (%),Units,Undefined,N92000002,74.20361098
2010,Percentage (%),Certified,,Percentage (%),Units,Undefined,,44.03900601
2010,Percentage (%),Certified,England,Percentage (%),Units,Undefined,E92000001,27.69073142
2010,Percentage (%),Certified,Wales,Percentage (%),Units,Undefined,W92000004,44.01157941
2010,Percentage (%),Certified,Scotland,Percentage (%),Units,Undefined,S92000003,57.4956831
2010,Percentage (%),Certified,Northern Ireland,Percentage (%),Units,Undefined,N92000002,73.05322735
2011,Percentage (%),Certified,,Percentage (%),Units,Undefined,,43.16653365
2011,Percentage (%),Certified,England,Percentage (%),Units,Undefined,E92000001,25.9379852
2011,Percentage (%),Certified,Wales,Percentage (%),Units,Undefined,W92000004,44.01151644
2011,Percentage (%),Certified,Scotland,Percentage (%),Units,Undefined,S92000003,57.23374049
2011,Percentage (%),Certified,Northern Ireland,Percentage (%),Units,Undefined,N92000002,72.1437748
2012,Percentage (%),Certified,,Percentage (%),Units,Undefined,,43.90172331
2012,Percentage (%),Certified,England,Percentage (%),Units,Undefined,E92000001,27.35439618
2012,Percentage (%),Certified,Wales,Percentage (%),Units,Undefined,W92000004,45.40751935
2012,Percentage (%),Certified,Scotland,Percentage (%),Units,Undefined,S92000003,57.5710292
2012,Percentage (%),Certified,Northern Ireland,Percentage (%),Units,Undefined,N92000002,61.35309548
2013,Percentage (%),Certified,,Percentage (%),Units,Undefined,,43.5976419
2013,Percentage (%),Certified,England,Percentage (%),Units,Undefined,E92000001,27.32495474
2013,Percentage (%),Certified,Wales,Percentage (%),Units,Undefined,W92000004,45.65751357
2013,Percentage (%),Certified,Scotland,Percentage (%),Units,Undefined,S92000003,56.97308102
2013,Percentage (%),Certified,Northern Ireland,Percentage (%),Units,Undefined,N92000002,58.26450241
2014,Percentage (%),Certified,,Percentage (%),Units,Undefined,,43.80424227
2014,Percentage (%),Certified,England,Percentage (%),Units,Undefined,E92000001,26.825239399999997
2014,Percentage (%),Certified,Wales,Percentage (%),Units,Undefined,W92000004,46.1432626
2014,Percentage (%),Certified,Scotland,Percentage (%),Units,Undefined,S92000003,57.69817157
2014,Percentage (%),Certified,Northern Ireland,Percentage (%),Units,Undefined,N92000002,58.17087285
2015,Percentage (%),Certified,,Percentage (%),Units,Undefined,,43.60274853
2015,Percentage (%),Certified,England,Percentage (%),Units,Undefined,E92000001,27.25397826
2015,Percentage (%),Certified,Wales,Percentage (%),Units,Undefined,W92000004,46.19752946
2015,Percentage (%),Certified,Scotland,Percentage (%),Units,Undefined,S92000003,56.81093047
2015,Percentage (%),Certified,Northern Ireland,Percentage (%),Units,Undefined,N92000002,58.189470299999996
2016,Percentage (%),Certified,,Percentage (%),Units,Undefined,,42.73573323
2016,Percentage (%),Certified,England,Percentage (%),Units,Undefined,E92000001,25.83258647
2016,Percentage (%),Certified,Wales,Percentage (%),Units,Undefined,W92000004,46.06095029
2016,Percentage (%),Certified,Scotland,Percentage (%),Units,Undefined,S92000003,56.19051144
2016,Percentage (%),Certified,Northern Ireland,Percentage (%),Units,Undefined,N92000002,58.22382614
2017,Percentage (%),Certified,,Percentage (%),Units,Undefined,,43.87385313
2017,Percentage (%),Certified,England,Percentage (%),Units,Undefined,E92000001,25.79370324
2017,Percentage (%),Certified,Wales,Percentage (%),Units,Undefined,W92000004,47.16379354
2017,Percentage (%),Certified,Scotland,Percentage (%),Units,Undefined,S92000003,58.47883313
2017,Percentage (%),Certified,Northern Ireland,Percentage (%),Units,Undefined,N92000002,58.147377600000006
2018,Percentage (%),Certified,,Percentage (%),Units,Undefined,,43.35698053
2018,Percentage (%),Certified,England,Percentage (%),Units,Undefined,E92000001,25.40391844
2018,Percentage (%),Certified,Wales,Percentage (%),Units,Undefined,W92000004,47.01541348
2018,Percentage (%),Certified,Scotland,Percentage (%),Units,Undefined,S92000003,57.68099332
2018,Percentage (%),Certified,Northern Ireland,Percentage (%),Units,Undefined,N92000002,58.02387729
2019,Percentage (%),Certified,,Percentage (%),Units,Undefined,,43.93733613
2019,Percentage (%),Certified,England,Percentage (%),Units,Undefined,E92000001,24.84126346
2019,Percentage (%),Certified,Wales,Percentage (%),Units,Undefined,W92000004,47.30799656
2019,Percentage (%),Certified,Scotland,Percentage (%),Units,Undefined,S92000003,59.27812081
2019,Percentage (%),Certified,Northern Ireland,Percentage (%),Units,Undefined,N92000002,57.97301889
2005,Growth rate (%),Certified,,Percentage (%),Units,Undefined,,8.375108052
2005,Growth rate (%),,,Percentage (%),Units,Undefined,,0.342205052
2006,Growth rate (%),Certified,,Percentage (%),Units,Undefined,,1.2265641109999998
