Year,Units,Sustainably managed status,Country,Sustainably managed status,Unit measure,Unit multiplier,Observation status,Unit measure,GeoCode,Value
2005,Progress towards sustainable forest management (Proportion certified),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,43.48535387
2005,Progress towards sustainable forest management (Proportion certified),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,52.93176868
2005,Progress towards sustainable forest management (Proportion certified),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,74.59557959
2006,Progress towards sustainable forest management (Proportion certified),Certified,,,Percentage (%),Units,Undefined,,,42.00121088
2006,Progress towards sustainable forest management (Proportion certified),Certified,England,,Percentage (%),Units,Undefined,,E92000001,27.62148612
2006,Progress towards sustainable forest management (Proportion certified),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,43.3814079
2006,Progress towards sustainable forest management (Proportion certified),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,53.19595956
2006,Progress towards sustainable forest management (Proportion certified),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,74.06702475
2007,Progress towards sustainable forest management (Proportion certified),Certified,,,Percentage (%),Units,Undefined,,,43.57144909
2007,Progress towards sustainable forest management (Proportion certified),Certified,England,,Percentage (%),Units,Undefined,,E92000001,28.35983628
2007,Progress towards sustainable forest management (Proportion certified),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,43.79150104
2007,Progress towards sustainable forest management (Proportion certified),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,55.864005
2007,Progress towards sustainable forest management (Proportion certified),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,73.87888564
2008,Progress towards sustainable forest management (Proportion certified),Certified,,,Percentage (%),Units,Undefined,,,42.96888404
2008,Progress towards sustainable forest management (Proportion certified),Certified,England,,Percentage (%),Units,Undefined,,E92000001,26.8602935
2008,Progress towards sustainable forest management (Proportion certified),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,42.90168208
2008,Progress towards sustainable forest management (Proportion certified),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,56.11222164
2008,Progress towards sustainable forest management (Proportion certified),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,73.76669235
2009,Progress towards sustainable forest management (Proportion certified),Certified,,,Percentage (%),Units,Undefined,,,43.61448441
2009,Progress towards sustainable forest management (Proportion certified),Certified,England,,Percentage (%),Units,Undefined,,E92000001,27.37343129
2009,Progress towards sustainable forest management (Proportion certified),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,44.12510867
2009,Progress towards sustainable forest management (Proportion certified),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,56.75561363
2009,Progress towards sustainable forest management (Proportion certified),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,74.20361098
2010,Progress towards sustainable forest management (Proportion certified),Certified,,,Percentage (%),Units,Undefined,,,44.03900601
2010,Progress towards sustainable forest management (Proportion certified),Certified,England,,Percentage (%),Units,Undefined,,E92000001,27.69073142
2010,Progress towards sustainable forest management (Proportion certified),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,44.01157941
2010,Progress towards sustainable forest management (Proportion certified),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,57.4956831
2010,Progress towards sustainable forest management (Proportion certified),Certified,Northern Ireland,,Percentage (%),Units,Undefined,,N92000002,73.05322735
2011,Progress towards sustainable forest management (Proportion certified),Certified,,,Percentage (%),Units,Undefined,,,43.16653365
2011,Progress towards sustainable forest management (Proportion certified),Certified,England,,Percentage (%),Units,Undefined,,E92000001,25.9379852
2011,Progress towards sustainable forest management (Proportion certified),Certified,Wales,,Percentage (%),Units,Undefined,,W92000004,44.01151644
2011,Progress towards sustainable forest management (Proportion certified),Certified,Scotland,,Percentage (%),Units,Undefined,,S92000003,57.23374049
