Year,Units,Size of particulate matter,Local Authority,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2015,Particulate matter (PM),,Middlesbrough,Undefined,Units,microgram/m3,E06000002,11
2008,Particulate matter (PM),PM 10,Newcastle upon Tyne,Undefined,Units,microgram/m3,E08000021,17.264
2011,Particulate matter (PM),PM 10,Newcastle upon Tyne,Undefined,Units,microgram/m3,E08000021,19.616
2013,Particulate matter (PM),,Newcastle upon Tyne,Undefined,Units,microgram/m3,E08000021,10.38335285
2013,Particulate matter (PM),PM 10,Newcastle upon Tyne,Undefined,Units,microgram/m3,E08000021,15
2013,Particulate matter (PM),,Newcastle upon Tyne,Undefined,Units,microgram/m3,E08000021,10
2011,Particulate matter (PM),PM 10,Newport,Undefined,Units,microgram/m3,W06000022,17.676
2011,Particulate matter (PM),,Newport,Undefined,Units,microgram/m3,W06000022,12.48936068
2013,Particulate matter (PM),,Newport,Undefined,Units,microgram/m3,W06000022,12.95290288
2016,Particulate matter (PM),PM 10,Newport,Undefined,Units,microgram/m3,W06000022,15
2016,Particulate matter (PM),,Newport,Undefined,Units,microgram/m3,W06000022,10
2011,Particulate matter (PM),,Northampton,Undefined,Units,microgram/m3,E07000154,9.966
2016,Particulate matter (PM),PM 10,Northampton,Undefined,Units,microgram/m3,E07000154,10
2016,Particulate matter (PM),,Northampton,Undefined,Units,microgram/m3,E07000154,7
2011,Particulate matter (PM),PM 10,Norwich,Undefined,Units,microgram/m3,E07000148,19.834
2011,Particulate matter (PM),,Norwich,Undefined,Units,microgram/m3,E07000148,14.141
2013,Particulate matter (PM),,Norwich,Undefined,Units,microgram/m3,E07000148,13.23369116
2016,Particulate matter (PM),PM 10,Norwich,Undefined,Units,microgram/m3,E07000148,16
2016,Particulate matter (PM),,Norwich,Undefined,Units,microgram/m3,E07000148,11
2008,Particulate matter (PM),PM 10,Nottingham,Undefined,Units,microgram/m3,E06000018,17.94
2011,Particulate matter (PM),PM 10,Nottingham,Undefined,Units,microgram/m3,E06000018,24.765
2011,Particulate matter (PM),,Nottingham,Undefined,Units,microgram/m3,E06000018,13.196
2013,Particulate matter (PM),,Nottingham,Undefined,Units,microgram/m3,E06000018,12.23489619
2016,Particulate matter (PM),PM 10,Nottingham,Undefined,Units,microgram/m3,E06000018,19
2016,Particulate matter (PM),,Nottingham,Undefined,Units,microgram/m3,E06000018,12
2011,Particulate matter (PM),PM 10,Oxford,Undefined,Units,microgram/m3,E07000178,17.167
2011,Particulate matter (PM),,Oxford,Undefined,Units,microgram/m3,E07000178,11.674
2013,Particulate matter (PM),PM 10,Oxford,Undefined,Units,microgram/m3,E07000178,20.72740633
2013,Particulate matter (PM),,Oxford,Undefined,Units,microgram/m3,E07000178,13.74342057
2015,Particulate matter (PM),PM 10,Oxford,Undefined,Units,microgram/m3,E07000178,15
2015,Particulate matter (PM),,Oxford,Undefined,Units,microgram/m3,E07000178,10
2016,Particulate matter (PM),PM 10,Penicuik,Undefined,Units,microgram/m3,,4
2016,Particulate matter (PM),,Penicuik,Undefined,Units,microgram/m3,,3
2011,Particulate matter (PM),PM 10,Plymouth,Undefined,Units,microgram/m3,E06000026,20.319
2011,Particulate matter (PM),,Plymouth,Undefined,Units,microgram/m3,E06000026,10.579
2013,Particulate matter (PM),,Plymouth,Undefined,Units,microgram/m3,E06000026,12.00674284
2013,Particulate matter (PM),PM 10,Plymouth,Undefined,Units,microgram/m3,E06000026,17
2013,Particulate matter (PM),,Plymouth,Undefined,Units,microgram/m3,E06000026,12
2013,Particulate matter (PM),,Port Talbot,Undefined,Units,microgram/m3,,14.33547224
2016,Particulate matter (PM),PM 10,Port Talbot,Undefined,Units,microgram/m3,,22
2016,Particulate matter (PM),,Port Talbot,Undefined,Units,microgram/m3,,9
2008,Particulate matter (PM),PM 10,Portsmouth,Undefined,Units,microgram/m3,E06000044,23.99396615
2011,Particulate matter (PM),,Portsmouth,Undefined,Units,microgram/m3,E06000044,15.857
2013,Particulate matter (PM),,Portsmouth,Undefined,Units,microgram/m3,E06000044,13.93646073
2016,Particulate matter (PM),PM 10,Portsmouth,Undefined,Units,microgram/m3,E06000044,17
